"","pprice","pdescrip"
"1","25.00","
                            Turquoise Bracelet - Personalized Monogram Stacking Bracelet - Beaded Bracelet - Tag Disk Charm - Minimalist Jewelry - Venexia Jewelry. Trendy, minimalist, stacking bracelet to make your outfit pop.Material : Turquoise howlite Gold filled disk charm  3/8 "", around 11mmHand stamped with your chosen monogram letter.Listing / price for one bracelet. Bracelet available in S, M, L, XL :* size 6.5 ( small )* size 7.0 ( medium )* size 7.5 ( large )* size 8.0 ( extra large )Measure the circumference of your wrist and add 1/2 "" The bracelet size represents the number of inches of the bracelet .Please read Shop Policies Before placing the order :https://www.etsy.com/il-en/your/shops/VenexiaJewelry/policiesEach piece is unique. There might be slight variations between one piece to the other but it does not indicate any flaw. These are the attributes of handcrafted jewelry.The pictures are deliberately taken in close up to show the details and do not indicate the size or scale.Care for your jewelry : take a drop of dish washing liquid between your fingers and rub gently, rinse under cold water, dry with a soft cloth.Thank you,Dany            
        "
"2","44.80","
                            Amy Waltz Designs BlessingBands! These power phrase bangles are all completely hand-forged and in one way or another each member of our shop offers some role in their creation. They are hand engraved, hand hammered, hand soldered and a tremendous amount of love is poured into them. The tiny dangles and shapes are hand cut. They are hand aged with our eco-friendly darkening patina to bring out the characters and the fine details of the bands. Some are rolled for texture, some are flat, straight and traditionally hammered. They have depth, dimension, spirit and purpose. They are high quality and very durable and communicate a powerful message as you wear them. And we have sweet packaging dedicated just to our BlessingBands! Super perfect and absolutely ready for gifting!!★PLEASE NOTE★---------------------------------------------These are all priced individually! Add each BAND to cart one at a time. See pic 2 & 3 to pick your BlessingBand (see the list to the right of the stack of BANDS in pic 2 & 3 to see the name and number associated with each band - it will correspond in the drop down menu when you are ready to purchase) When you are ready to buy, refer to ORDERING INSTRUCTIONS below. For specific details on each band (metal, width, texture, dangles, shapes etc), see BLESSINGBAND DETAILS below. For tips on sizing your BAND, see SIZING DETAILS and TIPS FOR SIZING.Reach out to us if you have specific questions! We are here to help! :)★WHAT ARE BLESSINGBANDS?★---------------------------------------------BlessingBands are personal power bangles to give you strength, motivation, courage and wisdom throughout your day. Basically they are bangles with words and expressions to lift, inspire and bless you! They are meant to guide you toward consciously living. They are meant to help you awaken into your truth, your balance, your story. They are positive reminders to seek yourself; to empower yourself. I grew up knowing the importance of mantras through meditation. I find great value in meditation but it takes discipline. Meditation is bringing you to a place of acceptance and putting space in between thoughts so that you become calmer and more at peace. So BlessingBands are simply a tool to propagate a positive mind and give you a mantra on your wrist that awakens that truth. Jewelry is beautiful. We look at it and it makes us happy as we wear it but I want to take a further. I want it to help you achieve a greater inner calming; to bring you peace; to awaken your mind; to encourage you to live fully without reservation and with all your strength, power and purpose. And to be blessed, alive and awakened while you do it! xo Amy★ORDERING INSTRUCTIONS ★---------------------------------------------★FIRST★ (First drop down menu)Pick your BlessingBand(s). See pic 2 & 3 ... zoom in on it. See BLESSINGBAND DETAILS below for greater detail on each band. Again these are sold individually. You are not getting the entire stack. ★SECOND★ - Pick your FINISH & YOUR SIZE (Second drop down menu)Following are the two finishes we offer - POLISHED and CLEAR GUARD and below is the difference between them :)POLISHED - they will come straight out of the tumbler and get packaged up. But you should know that as these pieces come in contact with your skin, they will naturally age or darken, adding a rustic beautiful flare to them. If that isn't preferential to you, consider adding a temporary protective clear guard or purchase a polish cloth to keep them bright and sparkly: https://www.etsy.com/listing/113672883/beautiful-and-safe-polishing-cloth-toCLEAR GUARD SATIN SPRAY - they will still be tumbled for hours but then they will receive a coating of our eco-friendly clear guard satin spray. This low VOC, environmentally friendly spray helps to guard against sun, salts, heat, water and tarnish. Though it won't last forever, it will still give a beautiful satin coating and help to stave off the aging effect if you are not partial to that.★SIZING DETAILS★---------------------------------------------Extra Small/Small: 2.25"" Diameter OR 7"" CircumferenceMedium: 2.50"" Diameter OR 7.5"" CircumferenceLarge: 2.75"" Diameter OR 8.25"" CircumferenceXLarge: 3"" Diameter OR 9"" Circumference★TIPS FOR SIZING★---------------------------------------------With bangles the tricky part is actually not the wrist but the largest part of the hand that the bangle needs to pass over. A good way to figure out your size is to grab a flexible tape measure (most sewing kits have them) and squish your hand down (as if you're preparing to pass a bangle over it) take the flexible tape and wrap it around that part, the biggest part, of your hand and measure it very tightly. Then compare that measurement to the sizing above and select the bangle that works best for you. For me I'd rather work a bit to get a bangle on than risk it falling off. For me my measurement doing the steps above is 7.75"" and I take a medium bangle or 7.5"" in circumference. Keep that in mind when sizing yourself. Also, if you are buying for someone else and it's a gift, the most common size is medium. If you're unsure it's always best to go bigger than smaller. If you miss-size your bangle, please take a read in our policy section on returning a personalized product for a different size. It's much easier for us to size your bangle down than up. There is a cost associated with returning your piece to be resized so best bet is to measure and know for sure the size needed. Also, we cannot be held responsible for miss-sized bangles. We do provide these steps above but they are merely tips for sizing. The final size will have to come down to you.★METAL DETAILS★------------------------------------These beautifully handmade BlessingBands are made from the following metals: German Silver, Nu Gold and Copper. Do read about the metal content in our products please see our policies section for a breakdown of what's in all of our metals.★BLESSINGBAND DETAILS★---------------------------------------------See PIC 2 & 3 - the numbers correspond to the drop down menu.1 - *my faith is bigger than my fear* + TRUST ring. Band is 1/8"" hand-hammered 10 GA nu gold and ring is 10GA copper.2 - *stay weird* in 1/8"" wide German silver with straight hammered texture. 3 - *CARPE DIEM* + star. Band is 1/4"" 16 GA hand-hammered and star is sterling silver.4 - *breathe believe receive* + yin yang dangle. Band is 1/8"" funky hammered 10 GA German silver and yin yang is 18 GA nu gold.  NOTE - breathe believe receive is evenly spaced all the way around the band.5 - *i love who i am* + open silver heart. Band is 1/8"" 10 GA hand-hammered and heart is 16GA German silver.6 - *love . family . happiness . health* + raised heart. Band is 1/4"" 16GA German silver and heart is copper (the copper one in the photo is only available under custom order - convo us first)7 - *with brave wings she flies + wing dangle. Band is 1/8"" rolled texture (that looks like pieces of a wing!) and wing is now STERLING SILVER.8 - *i love us* + infinity dangle. Band is 1/8"" flat-hammered 10GA German silver and infinity is 16GA nu gold.9 - *BE BRAVE* + raised heart. Band is 1/4"" wide funky hammered 16 GA copper and heart is nu gold.10 - *i am fearlessly authentic* + swirl dangle. Band is 1/8"" flat hammered 10 GA nu gold and swirl is 18 GA nu gold.11 - *prone to wander* + GO & DO dangle. Band is 1/8"" flat-hammered 10 GA copper and GO&DO is 18 GA German silver.12 - *explore travel adventure live* + arrows all evenly spaced around the band. Band is 1/4"" flat hammered 16 GA German silver.13 - *be. the. light. + raised star. Band is 1/4"" 16 GA rolled texture and star is sterling silver.14 - *what if I fall? oh my darling what if you fly?* + aged sparrow dangle. Band is 1/8"" 10 GA flat hammered German silver.15 - *BE YOUR OWN HERO* + raised gold heart. Band is 1/4"" traditional hammered 16GA German silver and heart is hand-cut out of nu gold.16 - *be truthful ★ gentle ★ fearless* + Copper Lotus Dangle. Band is 1/8"" rolled texture 10 GA 100% copper.17 - *love you to the {moon} {star} .... and back* + raised moon and stars to represent the galaxies. Band is 1/4"" 16 GA nu gold with rolled texture to look like the surface of the moon. 18 - *I CHOOSE TO BE HAPPY* + personalized initial dangle. Band is straight hammered, 1/8"" 10 GA German silver and circle dangle is personalized with your initial in German silver. ★NOTE★ Initial for *I CHOOSE TO BE HAPPY* needs to be provided in the comments portion of the order!!19 - *stay patient {swirl} trust the journey* ... Band is 1/4"" 16GA Copper. Texture is flat hammer and a swirl is stamped right in the middle of the two expressions.20 - *smile, breathe & go slowly* + raised silver heart. Band is 1/4"" wide flat hammered 16 GA nu gold and heart is hand cut out of German silver.21. *i am enough* + raised copper butterfly. Band is 1/4"" wide flat hammered 16 GA nu gold.22. *I AM POWERFUL* + raised sterling silver lightning bolt. Band is 1/4"" wide square hammered 16 GA 100% copper.23. *i am bee-utiful* + raised nu gold bee. Band is 1/4"" wide traditionally German silver.24. *i am determined* + raised sterling silver bird. Band is 1/4"" wide straight hammered nu gold.★PACKAGING★---------------------------------------------Almost as important as the piece itself is the packaging and Amy has designed the sweetest packaging just for the BlessingBands. These will all be gift packaged beautifully and responsibly. You will love gifting your BlessingBand and receiving them as a gift to yourself too :)★IMPORTANT SHIPPING & PRODUCTION DETAILS!!★---------------------------------------------**All of our pieces are made-to-order from scratch. **NORMAL PRODUCTION - Once we receive your order, it goes immediately into the normal production queue which is on average 5 business days but can be longer depending on our load. Please see our policy section for our most up-to-date production lead time.**RUSH PRODUCTION - If your order is time sensitive and you need it quick domestically or internationally, we offer RUSH PRODUCTION for $20 which is max 3 business days in production. Please send me a convo if you're interested in this in-house upgrade and we'll create your custom listing. Please note this is not a shipping upgrade. If you need to upgrade shipping, you'll want to select the method that suits your needs best at checkout.**DOMESTIC SHIPPING - For domestic orders, if you select standard shipping at checkout it will be shipped with tracking via first class USPS mail which typically, but is not guaranteed, takes 3 business days to arrive at its location. Priority Mail tends to arrive slightly faster than standard first class mail but it also is not guaranteed. If you want it fast or guaranteed, consider upgrading your shipment to FedEx at checkout.**INTERNATIONAL SHIPPING - For international orders, if you select standard shipping it can take up to 6 weeks to arrive so please plan accordingly. Also standard shipping packages are NOT tracked beyond the US border. If you need it fast, or want it guaranteed with door-to-door tracking, please select FedEX at checkout.**Please see our policy section on shipping times, production turnaround and all other details pertaining to your order prior to placing your order:https://www.etsy.com/shop/amywaltz/policy?ref=shopinfo_policies_leftnav★METALS & SEALANTS★We work with high-quality, lead-free metals and low VOC, eco-friendly sprays and sealants. We use fine metals, recycled metals, gold-filled metals, base metals, and alloys. For a breakdown of the content of our metals, please see our policy section under OUR PROCESS: https://www.etsy.com/shop/amywaltz/policy?ref=shopinfo_policies_leftnav. Please see this section prior to making a purchase, especially if you have allergic tendencies.            
        "
"3","32.90","
                            ► Moon Dots Ear pin cast in solid Sterling Silver. The earring has been lovely carved inspired by moon spirit. Finished with mate silver surface. The Earring measures 1"" (25mm) long. All our earrings are sold in pairs.►►►  See Similar Designs here  ◄◄◄https://www.etsy.com/shop/RebelOcean?section_id=16502094&ref=shopsection_leftnav_3► All our pieces are packed in Gift Boxes. The perfect gift to yourself or the ones you Love!♥ Love it and want to buy later? Click on the heart to your right that says ""Add item to favorites.""♥ Want it now? Click the green ""Add to cart"" button.► Back to the SHOP: http://www.rebelocean.etsy.com/More Info: ► POLICIES: https://www.etsy.com/shop/RebelOcean/policy?ref=shopinfo_policies_leftnav► Lear more about us: https://www.etsy.com/shop/rebelocean/about?ref=shopinfo_about_leftnav► WHOLESALE: questions/inquiries? - Email us at rebeloceancontact[!at] gmail.comCopyright © 2014 REBEL OCEAN. All rights reserved.            
        "
"4","12.50","
                            These Druzys Rose gold necklaces are so pretty. The faux Druzy is approx 12mm. This is a Rose gold setting. The Druzy is resin and they have a really nice sparkle to them they come in white, silver, pink, neon green, light green, Light blue,  light gray, purple, red, Rose gold or dark blue. Comes on an 18"" Rose gold plated chain for a different length message me on purchase I'm happy to adjust. These have a great boho look they are set in a Rose gold oval setting. Makes a lovely bridal gift, Christmas gift, for your BFF or yourself or both. Comes in a jewelry box with a polishing cloth and gift card.I also have  Druzy earrings available to match these.♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥Enter my boutique here:http://www.SheilasAttic.etsy.com♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥            
        "
"5","18.99","
                            Rose gold,Bridesmaids Earrings,Personalized Bridesmaids Gift,Crystal Stud Earrings,Bridesmaids Gifts,Spring Wedding ,be my bridesmaid card►►►   EARRINGS :- Cubic Zirconia , with  facets equivalent to a diamond  - available in 18k white gold or yellow gold or rose gold plated  - size 10mm -studs earrings -earrings are Hypoallergenic , no allergy►►►   NECKLACE: Cubic Zirconia , with  facets equivalent to a diamond  - available in 18k white gold or yellow gold or rose gold plated  - size 10mm - 16 TO 17 in chain , adjustable size - pendant size 6mm ►►►   BRACELET: Cubic Zirconia , with  facets equivalent to a diamond  - available in 18k white gold or yellow gold or rose gold plated   -  bracelet is 18 cm ( or 7 in long )  . ► Packaging : we provide gift box and personalized note card per item free of charge . We can custom the cards inside the box  with any saying for you ( no extra charge )  . To custom your card . message us at check out for all details . ►  Please include a note at checkout including:• The names of your bridesmaids and/or maid of honor• The note/quote you want in the box(es) if you're creating your own► HOW TO ORDER: Please see drop down menu on the right of the listing , you select the options :* finish metal silver or gold or rose gold* matching set option *up quantity to number you want ► For rush order , normally we will have it shipped same day or next day for you . Please note in your order ( note to seller box )  when your wedding date is  .► SHIPPING TIME• Please see ""Shipping & Policies"" tab for current processing time (If you need it sooner, please send us message via Etsy conversaion )• 2-5 business days shipping time (for U.S. and Canada orders)• 2 weeks -4 weeks  shipping time for International orders (but typically sooner)• Priority mail /express mail upgrade available for US orders at checkout (does not rush processing time)            
        "
"6","45.00","
                            Tree of Life wire wrapped around Abalone pendant on black cord necklace. Pendant is  1.5 inches in length. All wire used in making this pendant is recycled  copper (see details below). Drop ring incorporated into wire wrapping for easy use with a necklace . Please note: Abalone shells differ in color. I try to pick the most beautiful stones for every one of my orders. If you would like a picture of finished product before it is shipped please note your desire in order notes. Thank You :) Recycled Beautifully is proud to say that ""We Recycle""! All of our hand wrapped jewelry is made using recycled copper or aluminum wire that we pull out of T.V.'s that people throw in the trash. By using recycled wire we are able to not only keep these items out of the landfills but we are also able to keep our jewelry priced at amazingly low prices.            
        "
"7","37.00","
                            This modern, minimal, and meaningful necklace is the perfect Valentine's Day Gift for your love. Our Long Skinny Bar Necklace is a beautiful variation of the Bar Necklace that comes in 14k gold or sterling silver.WE USE 20 GAUGE GOLD FILL & STERLING SILVER  *listing is for (1) Long Skinny bar necklace|DETAILS|-  38mm x 4mm bar  (our LONG SKINNY bar)-  14k gold fill or sterling silver bar and chain-  spring closure-  choice of finish (polished or satin brushed)-  choice of stamp alignment on bar-  comes in a custom LEILA jewelry box w/pouch and care tips..... If you need extra boxes for gifting....just let us know!*Model in 4th photo is wearing our CLASSIC bar on a 16"" chain and our LONG SKINNY bar on a 17"" chain.......................................................................|ORDERING INSTRUCTIONS FOR PERSONALIZATION|*see photos for font styles ( for SKINNY BAR block lower or mini block only)**symbols- heart, plus sign, flower, star, arrow  (for SKINNY BAR)1) Select from drop-down menus first2) Then at checkout enter in NOTES TO SELLER section the following details:         a- which font: Skinny Bar comes lower or mini block onlyb- what you would like stamped (in exact order) c- center or right aligned (comes right aligned if not specified)d- polished (reflective) or satin brushed (soft brush marks but still has shine)              *For any questions click on the ""Ask a Question"" button by the listing title.......................................................................|Complete the Look|Our CLASSIC bar necklace seen in the 4th photo can be purchased here. https://goo.gl/txStPu|14K GOLD FILL|Gold fill is a pressure bonded layer of gold that has 100 times more gold than plated jewelry.  It is durable, won't chip or flake, is tarnish resistant, and a great alternative to ""solid"" gold jewelry that is reasonably priced.  Looks great and should last for many years!|PLEASE READ OUR POLICIES BEFORE ORDERING|https://www.etsy.com/shop/leilajewelryshop/policy|CAN'T GET ENOUGH?|  Follow us on Instagram and Facebook (@LEILAjewelry) to get the latest deals, enter FREE GIVEAWAYS, or just to see some behind the scenes pics of my family and LEILA.Instagram:         https://instagram.com/leilajewelry Facebook:         https://www.facebook.com/leilajewelry****THANKS FOR SHOPPING AND SUPPORTING LEILA!!!****            
        "
"8","22.50","
                            **To make orders much FASTER, please WRITE YOUR REQUESTS on a seller's note when you check out!**….Please be sure to include your desired bracelet text at checkout!Character limit: 17 (including spaces)All stamped lettering is 1.5 mm gothic uppercase….Material:Charm and chain are 16k gold plated / silver plated / rose gold platedgold / silver plated jewelry is a wonderful, affordable way to add a sophisticated look to your wardrobe, with the look of real gold / silver. ….Sizing:Charm: approximately 1 inch in lengthChain with clasp: 6 inchesTotal bracelet length with the extender: approximately 8 inchesThis bracelet is adjustable, but if you need a smaller or larger size, please let us know the total length you need at checkout. For the best fit, measure your wrist circumference and add ¼ inch to the length. For a looser fit, add ½ inch.….Care:Plated jewelry is strong, yet fragile. In order to extend the life of your plated pieces, remove jewelry when sleeping, exercising, or doing other physically strenuous activities, as prolonged contact with sweat will cause the plating to wear away faster. In addition, avoid contact with perfumes, body oils, and other chemicals, including household cleaners. Never use chemical jewelry cleaners as these will wear away at the plating and do more harm than good. For light cleaning, gently polish with a soft, lint-free cloth in order to avoid scratching. Store in a cool dry place.….For more information:Please visit our shop at: www.etsy.com/shop/MignonandMignon/Our shop policies can be found here.https://www.etsy.com/shop/MignonandMignon/policy?ref=shopinfo_policies_leftnav            
        "
"9","14.00","
                            Constellation Necklace with Zodiac signs for all twelve months.  Matte plated silver pendants are approx 10- 26mm.  Sparkling silver plated chain with a lobster clasp.  You choose chain length and Zodiac sign.  Photo #3 is numbered to illustrate choices.Gift Box with washi tape wrapping, ready for gifting            
        "
"10","2.98","
                            Adjustable black handmade chokers. Soft velvet fabric.Length: 31 cm + 6 cm (metal alloy adjustable lobster clasp)Width: 1.5 cm__________________________________________________________I ship all orders within 1 business day of purchase!USPS First Class (2-7 Days) -- Shipping: $1.99__________________________________________________________Don't hesitate to message me with any questions, thanks!            
        "
