"","pprice","pdescrip"
"1","775.00","
                            This is an offering for custom work of these canvas wrapped panels.The sides are bowed for a wonderful visual effect!  Any colors can be used, of course!  This is mixed media work using a combination of hand made papers, acrylics and other textural mediums.If you are interested, please send me a message and we can discuss size and price.  You can purchase individually or in sets of 3 panels.  $5000 for the 115"" length (Set of three)    $2500 for the 60"" length   (Set of three)International shopper:  Please contact me with your location so I may get you the best possible shipping rate.Thank you for looking!            
        "
"2"," $529.00 USD","
                            As this is a MADE-TO-ORDER painting, it will be similar to the one you see here, that I have already sold. Time frame to create it is 6 business daysPainting's name: ""Federations""Size: 48""x24""x1.5"" Deep Gallery CanvasMedium: Acrylic on gallery-wrapped stretched canvasColors: Dark brown, rust, ocher yellow, teal, turquoise, creamThe painting will be painted on a staples free sides canvas. The painting will be ready to hang.The sides of the painting will be painted as a continuation of the painting.A Certificate of Authenticity is always provided.The painting is signed by me, the artist and shipped directly from my studio.As an artist who sells for more than 10 years, I strive for the best quality in both materials and finish. All my paintings are created with great care and are coated with varnish to protect the colors for extended time, and to ensure durability and protection against changes in room temperature.All of my paintings are professionally packaged and insured against any damage or loss. Pls. view my other paintings on Etsy:http://www.etsy.com/shop/osboxFeel free to contact me with any question.Osnat Tzadok            
        "
"3"," $339.00 USD","
                            Please note this is a custom piece allow one week for completion.  Hi My name is Sherri . As an artist I paint  from the inside out. Each piece has a personal meaning to me. Painting frees my imagination and provides many chances for happy accident to influence the finished piece. In general most of my pieces have a lot of texture and vibrancy. Art should be touched, art should make you happy.I have been selling art on line for several years and I have pieces displayed in public and private collections all around the world. I currently have a piece display in a permanent collection at the Rochester Museum of Fine Arts www.rochestermfa.org. My work was featured on NBC's Today show with Kathy Lee and Hoda as one of their favorite things. Thank you for looking at my work to learn more about me visit my profile page http://www.etsy.com/people/JMJARTSTUDIO?ref=si_pr.                                                                                                                                                                     You can find more original contemporary, abstract, landscape, tree and braille paintings here http://www.etsy.com/shop/JMJARTSTUDIO?ref=si_shopGuaranteed original, one of a kind no reprints or gliceesMeasures 24"" X 48"" inches High quality gallery wrapped canvasSealed with a protective coat of varnishShades of  turquoise ( greener blue) orange, taupe, white  and mustard.Pre stretched 3/4 inch canvas Signed and dated by the artistUpscale artwork from an established artist            
        "
"4"," $288.00 USD","
                            Original Abstract Painting, Modern Textured Painting,Impasto Landscape Textured Modern Palette Knife Painting,Painting on Canvas byChenSize:24""x48""x1.2""[60x120x3cm]Stretched thickness: 1.2"" (3cm )Framed / Stretched ( Ready to hang! )The sides are staple-free and are painted black. It is ready to hang .Payment Details: we prefer paypal Do remember to leave your phone number in the note fieldShipment and Packing charge :  By Air Mail Or EMS to world-wide Parcel will be shipped out within 1-3 working days upon receipt of payment, via International Registerred Postal Air Mail, delivery period around 7-15 working days. All items will be shipped by China EMS, UPS.DHLExpress delivery is only to US/UK/Canada/Australia, other countries will be subject to change with our email confirmation.Note: If you are in other countries, please contact us for the shipping fee before you bid.Special delivery in remote areas where transportation costs increase, will be announced!Return Policy 1.Lost Item: If item is not received due to shipping company or seller's fault (Seldom happens), buyer will get full refund (Item price + Shipping charge) or a replacement upon buyer's choice. 2.Damaged Item: If a damaged item is received due to reason of shipping process, weather, custom inspection etc., buyer should contact seller and provide evidence of damage (a note from the carrier stating the damage and digital photos) within 7 days after receiving the item. Please check the item carefully before you sign your name, be sure to reject the item if damages is obviously to the carton/tube. Buyer will be able to qualify a full refund (Item price + Shipping charge) or a replacement only if buyer follow the instructions above. Seller has the right to keep the damaged item if it's in repairable condition, or buyer can get partial refund if buyer choose to repair the item. If you have any questions, our customer service staff welcomes your e-mail inquiries. We strive to answer all questions and resolve any problems as soon as possible.   Your satisfaction is Guaranteed!!!Do not hesitate to contact us anytime before and after your purchase, we are committed to your 100% customer satisfaction. When you shop with us, your satisfaction is our #1 priority. Bid With Confidence!            
        "
"5"," $500.00 USD","
                            Zoom photos for better look - under the main photo on the right-------------------------------#3 Top Seller painting--------------------------------------------------------------------------------------------------------------ETSY CATEGORY PAINTINGhttp://imagizer.imageshack.us/v2/xq90/924/40n1CJ.png-------------------------------------------------------------------------------ABOUT THIS PAINTINGThe power of the Stag– it is what it is called. It symbolizes power, strength, and victory. The head of the gazelle that is in front of you possesses impressive and powerful horns in cool, calming colors in shades of purple and blue, horns that begin delicately and become increasingly more intense in color and intensity, and impressive, sharp eyes that emphasize the unique appearance of this animal. The head of the gazelle looks like some type of sculpture because of its thick layers of paint, and for this reason, in appropriate lighting, its face radiates power combined with elegance that create for him the perfect appearance. Completing the painting is black, elegant, and beautiful black spray that balances the colorfulness of the painting, creates beautiful opposition on the white canvas, and adds to the painting an abstract, uncontrolled, and undefined dimension that completes the modern look of this noble creature.DETAILS* Name: The Power of the Stag* Painter: Koby Feldmos* Size: 60"" 30"" (150 X 75 cm)* Original handmade oil painting on canvas* Shipping ""ready to hang"" (stretched) in rigid box* Style: Modern, contemporary* Certification of Authenticity attached * Express shipping 3-4 days worldwide* 30 Days full money refund accepted THIS PAINTING IS SOLDYour painting will be created very similar in same style, color and size. After you order, I will start to create your painting within 2-3 days. I will finish it within 9-10 days. Then, I will send you an image of the painting for your acceptance. You can cancel the order and get a full money refund at any time.CUSTOM ORDERSwww.etsy.com/conversations/new?with_id=42819107ENTER THE SHOPwww.etsy.com/shop/KobyFeldmos----------------------------------------------------REVIEWS ON THIS PAINTING * From Etsy reviews page----------------------------------------------------1) Reviewed by taylor hamilton on December 8, 2015""Fantastic! Koby was a pleasure to work with - responsive and delivered a custom piece that exceeded expectation. I would definitely order another piece.  Thank you, Koby!""2) Reviewed by timfink427 on December 5, 2015""The 60W stag painting is well done and it framed beautifully. Koby agreed to modify colors in his standard painting to align with colors in our home. We like the uniqueness of the piece and, especially for the price point and his willingness to customize, we would recommend Koby.""3) Reviewed by Joel Keen on November 26, 2015""Painting is absolutely fantastic. Unique, canvas work of art that really brings the front room to life. Would recommend Koby to anyone. Communication was constant throughout as well making the whole process very easy for us. Thanks again""4) Reviewed by Annie Hull on November 10, 2015""Absolutely beautiful and stunning work by Koby! You get exactly what you see in the picture and Koby is great with communication should you have any questions. Highly recommend!""5) Reviewed by Marianne Boyles on October 14, 2015""I love how beautiful this painting is in our Colorado home! Thank you Koby for your unique artistry!""6) Reviewed by john mccormick on August 17, 2015""Koby did a great job!!! Bought three paintings and they all turned out great!!! Pleasure dealing with Koby! Will purchase from again!""7) Reviewed by j2morley on April 27, 2015""The painting is absolutely stunning and exceeded my expectations. Koby provided me exceptional customer service throughout the purchasing process. I highly recommend purchasing one of his beautiful works of art.""8)  Reviewed by segalsi on December 12, 2014""We saw a similar painting of Koby's in a local gallery, and were immediately struck by both its vulnerability and power. Ours is an amazing piece that we have placed over a natural wood dining table. Thank you Koby!”9) Reviewed by Liz Gibson on October 27, 2014""Koby was the perfect professional to work with and the painting is something that came out of the perfect dream! I love the piece and look forward to ordering more.""10) Reviewed by Raul Pib on August 5, 2014""Koby has great attention to its customers and he makes some of the best art I've seen, everything is so well detailed and made to perfection. Second painting I've bought and hope to buy more in the future. Thank you so much.""            
        "
"6"," $149.00 USD","
                            Original Recreation Landscape Oil Painting on Canvas by Leonid AfremovThis is the best possible quality of recreation made by Leonid Afremov in person.Title: Blue MoonSize: 20"" x 36"" (50 cm x 90 cm)Condition: Excellent Brand newGallery Estimated Value: $8,000Type: Original Recreation Oil Painting on Canvas by Palette KnifeThis is a recreation of a piece which was already sold.Its not an identical copy, it's a recreation of an old subject. This recreation will have texture unique just to this painting, a fingerprint that can never be repeated. My recreation will look similar but will have different texture, each knife stroke is unique and impossible to repeat. Each painting I create is one of a kind.The recreation has a very high gallery value of thousands of dollars just like the first originally created painting. Investing into recreations is worthwhile just like investing into original work. Any painting with Afremov signature is sold for thousands of dollars in a retail gallery no matter if it was the first or second version.Please take a look on retail prices in a gallery here: http://rogallery.com/Afremov_Leonid/afremovhm.htmThe image you see is of the original painting. My recreation will look similar but will have different texture. Each palette knife stroke is final and impossible to repeatHere you are buying directly from the artist.Signed by the artist, Certificate of Authenticity with the value provided.Each certificate of authenticity will include the name of the owner who purchased the piece of artwork. The certificate is signed by Leonid Afremov. If you buying this painting as a gift, please provide us the name of the gift recipient for the certificate. We can also ship to the address of the recipient of your gift.Free Shipping made by the UPS Expedited to many places in the worldWatch me paint on YouTube: http://www.youtube.com/user/afremovgalleryWathch me how I make my recreations: https://www.youtube.com/watch?v=4Ihx49EtgBoFollow my new art and updates:Facebook : https://www.facebook.com/afremovartstudioTwitter : https://twitter.com/afremovartIf you have any questions, please ask. Customer satisfaction is our main goal. We speak English, Spanish, Russian and Hebrew.Note: All the paintings from The Deal Of The Day section comes rolled in a tube by default at no extra cost!You can add stretching upgrade to your order $29 per painting via link below to receive the painting mounted on the frame (Gallery Wrapped) and read to hang: www.etsy.com/listing/178510883            
        "
"7"," $30.00 USD","
                            ""Psychic Fortunes"" ~ A print of the original gypsy circus painting by Emily Balivet; Acrylic on panel, 2002.Printed on archival quality matte Kodak Endura paper, the print measures 12"" x 18""  with a .25 inch border allowance. The print is signed, titled and dated on the back by the artist, sealed in a clear protective cello sleeve and ships flat.~All prints are packaged professionally and shipped via Priority mail (within the US)~Overseas shipping via USPS First Class International~Shipping discounts on multiple purchases!A variety of print sizes of ""Psychic Fortunes"" are available in my shop....16x24 Prints https://www.etsy.com/listing/83637619/psychic-fortunes-print-art-nouveau-gypsy?ref=shop_home_active_6&ga_search_query=Psychic%2BFortunes12x18 Prints https://www.etsy.com/listing/56633839/psychic-fortunes-print-art-nouveau-gypsy?ref=shop_home_active_2&ga_search_query=Psychic%2BFortunes5x7 Greeting Cards https://www.etsy.com/listing/59351032/psychic-fortunes-art-nouveau-gypsy?ref=shop_home_active_4&ga_search_query=Psychic%2BFortunes2.5x 3.5 ACEO Mini Prints https://www.etsy.com/listing/99831914/psychic-fortunes-art-nouveau-gypsy?ref=shop_home_active_3&ga_search_query=Psychic%2BFortunesPlease contact me with questions or comments!            
        "
"8"," $548.00 USD","
                            Original Acrylic Abstract painting ABSTRACT PAINTINGS Modern Art for sale LARGE modern art abstract art for sale fine art wall art by Nandita Albright                           *** ON SALE ***==========================================This is a ONE-OF-A-KIND absolutely original unique oil / Acrylic painting. Hand painted and signed by me Nandita Albright.  Selling direct from Dallas Texas. ==========================================“© Nandita Arts” logo will not appear on purchased painting.==========================================----------AVAILABLE FOR IMMEDIATE SHIPPING----------====================================================================================Artwork description:Original Abstract At, Modern Fine Art Oil Paintings - Painting on Canvas-Title: ""Deep Passion 11""-Size: 72” Width (24“+24”+24“) by 36” Height by 3/4 Deep-Medium: Acrylic Paint on Canvas-Back - wrapped, stretched canvas, black painted edges, READY TO HANG-Main Colors: Multicolored-Safe and fast payment with PayPal-You will receive a shipment confirmation and tracking number -Signed and dated on the front and back by the artist, Nandita Albright-MEDIUM: Winsor & Newton and Gamblin Artists Acrylic colors on canvas. -CONDITIONS: New, Original and in excellent condition. Directly from my studio Nandita Arts in Dallas TX.-SHIPPING: UPS, FedEx, or USPS. You will receive a shipment confirmation and tracking number. Your painting will be professionally packaged and shipped.-For International Buyers Please Note:Import duties, taxes, and charges are not included in the item price or shipping cost. These charges are the buyer's responsibility.===================================================================================ART GALLERY: https://www.etsy.com/shop/ContemporaryArtDaily https://www.etsy.com/shop/ContemporaryArtDaily?section_id=13845382=========================================Copyright: All Paintings © Copyrighted 2016 by Nandita Arts.            
        "
"9"," $55.00 USD","
                            White Palm Tree on Natural Reclaimed Wood.  The size is roughly 32"" x 21"" x 2Please massage me if you would like this piece in another color or size.This wall art  is made from reclaimed pallet wood. The years of weather and miles of wear  creates a rustic look that simply can not be artificially created. Splits, cracks and nail holes build character.This item has already been sold. Your purchase will be a very similar product. Reclaimed wood provides a unique appearance. Each item is a one of a kind. While custom orders will be very similar to the item shown, some differences may be noticeable. See the images for past variations. This item is shipped complete and with necessary mounting hardware.Check out the rest of the shop!http://www.etsy.com/shop/WoodburyCreek?ref=search_shop_redirect            
        "
"10","35.00","
                            Printed on premium archival fine art paper. Prints are signed and have a white border for easy framing. I live on the wild and beautiful coast of Downeast Maine. We moved to an old, old house with a small farm in the forest, near the water. There is nothing I love more than taking quiet time for myself out on the water. Each print is packaged in a  protective, acid-free sleeve and shipped in a flat cardboard mailer. I usually ship the print by regular mail the day after I receive the order. I am very happy to accommodate special orders like larger prints or portraits. Prices do apply. Please feel free to convo me with any questions or requests. I love comments and convos from people around the world!            
        "
