"","pprice","pdescrip"
"1","5.99","
                            California Poppy Patch Orange, Green, Blue, Black2.5""            
        "
"2","3.99","
                            Decorate your favorite jacket, shirt, tote bag, hat, beanie or whatever you like with our brand new heat seal Patches! ◉ 3"" circle diameter with white border.◉ Patch may be applied by ironing or sewing.-----------------------------INSTRUCTIONS-----------------------------◆ Place patch on garment facing upwards.◆ Set the temperature of the iron to 400°-F.◆ Cover the patch with a sheet of protective paper.◆ Press from the middle of the patch outward toward the edges.◆ Iron for 60 seconds.◆ Turn garment inside out and iron for an additional 60 seconds.*****************************************************◉These designs are also available on most of our t shirts, sweatshirts, &  baseball jerseys◉Our page is updated regularly with new t-shirts and long sleeve apparel◉Please allow for slight variation of appearance from photo shown as each item is made separately.◉Please note that some substrates may require more or less time to allow adherence of the patch◉Thanks for looking and please don't hesitate to email us if you have any questions.            
        "
"3","8.00","
                            This is a 1.25"" soft enamel pin with my not so famous last words.Designed by me in Long Beach, CA.            
        "
"4","4.99","
                            Moonrise Kingdom is one of my favorite Wes Anderson movies...if you can even pick a favorite, haha.  I wanted to design and create a patch for the movie that I could take hiking with me on my favorite backpack.  - Each patch measures 2.75"" in width or 7cm.- To apply patch all you need is a sewing needleCheck out the rest of the patch designs at the shop home here: https://www.etsy.com/shop/ForTheLoveOfPatch?ref=hdr_shop_menu            
        "
"5","5.00","
                            Wear your heart on your sleeve with this 3"" tall geometric heart embroidered patch.            
        "
"6","5.08","
                            SUPPORT YOUR LOCAL GIRL GANG embroidered iron on patch6x3.5cm            
        "
"7","6.50","
                            This is a embroidered patch of a high femme hand strapped with a glue gun that says craft life on it. I didn't choose the craft life, the craft life chose me! It's the perfect size to place right above the pocket of a denim vest or jacket. The back is adhesive that is activated with an iron. It can either be ironed on, sewed on, or placed in place with safety pins.Sizing: 3"" HEvery item in my shop ships safely and securely! You will receive a tracking number once your item has shipped. -------------------------------------**INTERNATIONAL CUSTOMERS PLEASE READ**With the 2016 shipping increase, the most economical shipping option for small items is First Class Letter Mail - It includes tracking but only allows up to 5 Pins/Patches. Shipping Options- 1 to 5 pins/patches - $5.00- More than 5 pins/patches - Canada $9.00- More than 5 pins/patches - Worldwide $13.00If ordering More than 5 pins/patches you MUST select the shipping upgrade from the pulldown menu at check out, otherwise your purchase will be canceled. If purchase pins/patches with heavier items like tshirts, totes, prints, or zipper pouches you'll automatically be upgraded to the heavier shipping charge. ------------------------------------- If you have any questions regarding this or any other item in my shop:☀ you can check my policies - http://www.etsy.com/shop/dannybrito/policy☀ send me a convo - https://www.etsy.com/conversations/new?with_id=5813574☀ if you prefer to email me, my email address is raisethesails[at]gmail.com-------------------------------------Keep in touch with me! - Storenvy: http://dannybrito.storenvy.com/- Twitter: http://twitter.com/danny_brito- Blog: http://dannybrito.com/- Instagram: http://instagram.com/dannybrito- Pinterest: http://pinterest.com/dannybrito            
        "
"8","9.43","
                            Friendly Bacteria Patch is 8 x 8 cm It is super cool and colorful!When dispatched, the patch will be secured with cardboard and wrapped in cellophane film.Thanks for viewing!Back to my shop: http://www.etsy.com/shop/bel777            
        "
"9","2.50","
                            The patch is excellent quality measuring 3"" x 2"". The lettering on ""Goosebumps"" also glows in the dark!!! It is very hard to get a decent picture of the patch glowing, so please excuse the blurred picture.            
        "
"10","9.00","
                            Julia Child patch The 3 Gourmets Ecole Des 3 Gourmands Badge Iron On Patch. This is an exact replica of the original Julia Child badge. This is an iron on patch. Easy to apply onto your garments.Dimensions: 3.2"" across. Made in the U.S.A. with high quality products.Please take a look at the photos and feel free to contact me if you have any question or suggestion...ps: International Shipping rates will vary according to the destination.PLEASE REMEMBER that by submitting your order you agree to the store policies: https://www.etsy.com/shop/FerdinandWorks/policy?ref=shopinfo_policies_leftnav------------------------------------------------------------------------------------------------------------This is an iron on patch. Easy to apply. Follow the instructions below:General Directions:• Place the garment on a table top with a hard surface: do not use an ironing board/do not use steam!• Set the iron to the hottest setting the *receiving* item (shirt, jersey, whatever) can take. (Often, it's ""Cotton"" but check the fabric content so you don't melt or ripple a cotton-rich blend).• Turn off the steam so you have a ""dry iron."" Once it's warm• Check to see if the edges and corners of the patch appear to be sticking to the receiving item. If not, press some more, paying special attention to the edges. , press the receiving item completely smooth. Position the patch where you want it. Place a piece of white cotton cloth on top of the patch. Press and hold the iron (no need to press hard--it's the heat that works, not the pressure) for 8-10 seconds on each section and move it just a little, back and forth, over and over until entire piece is bonded. (Ironing may vary for heavier layered items.)• Turn garment over and repeat step C from the reverse side.• Allow patch and garment to cool completely (15 to 20 seconds) before handling.            
        "
"11","2.70","
                            Make your old denim jacket more guac 'n' roll with this badass avo iron-on patch. The patch is digitally printed and hand sewn to an adhesive backing. For best results iron your patch on then sew around it. This little avocado is 8cms long and 5.5cms wide. All items sent via regular mail unless requested.International customers please note: your items will be shipped via airmail. All items will be marked as merchandise on the customs declaration and may incur additional fees and charges when collecting the package.            
        "
"12","2.90","
                            FEMINIST magenta purple pink  candy heart patch, measures 7cm across.Our iron on patches are perfect for customising your favourite apparel! These high quality embroidered patches can be ironed on to most types on non-stretch fabric, suitable for adding to a vintage denim jacket. For the more experienced sewer, you can even sew our patches our the more heavy duty fabric, if you’ve got a leather jacket that needs more of a biker feel or a canvas tote bag which you want to make more personalised.For a set of all of our candy heart patches click here: https://www.etsy.com/uk/listing/257601558/pack-of-7-candy-heart-patches-iron-on?ref=shop_home_active_1HOW TO APPLY	1- Make sure your iron is on a high heat (use adult supervision if under 16)2- Place patch where you want it to be on garment and cover it with a tea towel3- Press the iron firmly on top of the protected patch and use the steam function (if available) to add more heat while adding pressure4- Keep the iron on the patch for at least 2 minutes and go around the edges with the iron to make sure it's completely secure.**Please be aware, this will only work on cotton, denim and natural non-stretch fabrics. For other material, patches can be sewn on by hand or using a sewing machine.**            
        "
"13"," $2.70 USD","
                            Heart with eyes, comme des garcon logo, iron on patch, applique, motifin dark blue, red, blackThere is another listing with the other colours.We all feel better having crafted, but sometimes we just don’t have the time or energy for a big craft project. The Lazy Craft Store is about bringing you gentle and achievable craft projects. Lazy Crafts are little craft projects that you can do in an afternoon or in this case maybe even less. Patch work, more like hard work. For something gentler try iron-on patches, they are truly patch leisure.For use on any fabric that’s iron friendly. They don’t even have to be attached to fabric, however you want to use them is up to you. My patches come judgment free and packed with heaps of potential for crafting enjoyment.The price listed is for one patch only. The other photos are just ideas. Due to different lighting and screen resolutions note that patch colours may differ slightly. Please refer to the picture with ruler for an indication of patch size. I post on Mondays, Wednesdays and Fridays (Australian Eastern Daylight Time). Have a little browse at my my other listings if you want your patch to have any other patchy friends. I would love to here from you if you have any other requests for lazy craft supplies. Follow me at https://www.instagram.com/lazycraft/ for more lazy craft inspo and use #lazycrafts to share your projects.            
        "
